name,generation,price,ubication
Pulsar N250 Fi Abs,2023,13750000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar N250 Fi Abs,2023,13999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar N250,2023,13999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Abs,2023,13399000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Pulsarmania,2023,12199000 pesos,Engativa - Bogotá D.C.
Triumph Trident,2023,58990000 pesos,Usaquén - Bogotá D.C.
Triumph Street Triple Rs,2023,79990000 pesos,Usaquén - Bogotá D.C.
Dominar 400,2023,17499000 pesos,Engativa - Bogotá D.C.
Pulsar Rs 200 Fi ,2023,13724000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400 Touring Modelo 2023,2023,17674000 pesos,Teusaquillo - Bogotá D.C.
Bajaj Pulsar Ns  200 Fi 2024,2023,11899000 pesos,Antonio Nariño - Bogotá D.C.
Moto Tvs Raider 125  Nueva Bucaramanga,2024,7699999 pesos,Bucaramanga - Santander
Cuatrimoto A Gasolina Para Niños 50cc,2023,2900000 pesos,Medellín - Antioquia
Cuatrimoto Para Niños 50cc A Gasolina Encendido Electrónico,2023,2900000 pesos,Medellín - Antioquia
Yamaha Nmax 1552,2024,18800000 pesos,Floridablanca - Santander
Suzuki Dr 150 Modelo 2023 ,2023,11130000 pesos,Barrios Unidos - Bogotá D.C.
Honda Cb190r 2024 Pereira ,2023,13950000 pesos,Pereira - Risaralda
Honda Cb190r 2024 Barranquilla ,2023,13950000 pesos,Barranquilla - Atlántico
Honda Cb190r 2024 Cartagena ,2023,13950000 pesos,Cartagena De Indias - Bolívar
Honda Cb190r 2024 Medellín ,2023,13950000 pesos,Medellín - Antioquia
Honda Cb190r 2024 7 De Agosto,2023,13950000 pesos,Barrios Unidos - Bogotá D.C.
Honda Cb190r 2024 Cali,2023,13950000 pesos,Cali - Valle Del Cauca
Dominar 400 ,2023,17430000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Modelo 2024,2023,11899000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250 2023,2023,14449000 pesos,Teusaquillo - Bogotá D.C.
Moto Cross 110cc Nueva Srm A Gasolina Para Niños,2023,4600000 pesos,Medellín - Antioquia
Motos A Gasolina Para Niños 60cc Nuevas Encendido Electronic,2023,2200000 pesos,Medellín - Antioquia
Pulsar N 250 Fi Abs ,2024,13350000 pesos,Teusaquillo - Bogotá D.C.
Pulsarmania Ns 200 Fi A Credito Bogota ,2024,12199000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj,2023,11624000 pesos,Engativa - Bogotá D.C.
"Honda , Xr 190 L , Modelo 2023",2023,13965000 pesos,Barrios Unidos - Bogotá D.C.
Pulsarmania 180 Fi ,2023,9474000 pesos,Antonio Nariño - Bogotá D.C.
Bajaj Pulsar 180 Fi ,2023,9399000 pesos,Antonio Nariño - Bogotá D.C.
Pulsamania Ns 200 Fi ,2024,12199000 pesos,Teusaquillo - Bogotá D.C.
Boxer 150 X ,2023,6899900 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 180 Fi,2023,9224000 pesos,Antonio Nariño - Bogotá D.C.
Triumph Tiger 1200 Rally Explorer,2023,159990000 pesos,Usaquén - Bogotá D.C.
Dominar 400 Touring 2023,2023,17599000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400 Turing   ,2023,17724000 pesos,Engativa - Bogotá D.C.
Bajaj Pulsar 180 Neon Fi,2023,9274000 pesos,Medellín - Antioquia
Dominar D 250 Touring Accesorizada ,2024,14999000 pesos,Teusaquillo - Bogotá D.C.
Bajaj,2023,9274000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 400 Touring Accesorizada ,2023,18149000 pesos,Antonio Nariño - Bogotá D.C.
Pulsarmania Ns 200 Fi,2023,12199000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi ,2023,11324000 pesos,Barrios Unidos - Bogotá D.C.
Pulsarmania Ns 200,2023,11624000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi A Credito Bogota ,2024,11899000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 160 Fi 2024,2023,9999000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Rs 200 Fi Abs ,2023,13649000 pesos,Ciudad Bolívar - Bogotá D.C.
Pulsar Ns 125,2023,7524000 pesos,Antonio Nariño - Bogotá D.C.
Honda Xre300,2023,27800000 pesos,Suba - Bogotá D.C.
  Dominar 250 ,2023,14449000 pesos,Barrios Unidos - Bogotá D.C.
Bajaj Boxer Ct 100 Es ,2024,6350000 pesos,Medellín - Antioquia
Victory Bomber 125 2024,2024,4999000 pesos,Pereira - Risaralda
Honda Xre190 Dlx 2024 Pereira ,2023,17820000 pesos,Pereira - Risaralda
Honda Xre190 Dlx 2024 Barranquilla ,2023,17820000 pesos,Barranquilla - Atlántico
Honda Xre190 Dlx 2024 Cartagena ,2023,17820000 pesos,Cartagena De Indias - Bolívar
Honda Xre190 Dlx 2024 Medellín ,2023,17820000 pesos,Medellín - Antioquia
Honda Xre190 Dlx 2024 7 De Agosto,2023,17820000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xre190 Dlx 2024 Cali,2023,17820000 pesos,Cali - Valle Del Cauca
Honda Dio 110 Dlx 2024 Cali,2023,7595000 pesos,Cali - Valle Del Cauca
Bajaj 2023,2023,13774000 pesos,Engativa - Bogotá D.C.
Pulsarmania Ns 200 Fi Abs,2024,13999000 pesos,Teusaquillo - Bogotá D.C.
Honda Dio Dlx,2024,7595000 pesos,Suba - Bogotá D.C.
Pulsar Ns 200 Fi Abs Modelo 2024,2023,13399000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400,2023,17299000 pesos,Engativa - Bogotá D.C.
Suzuki Gixxer Fi 150 Abs ,2023,11147000 pesos,Barrios Unidos - Bogotá D.C.
"Honda, Xre 300 Dlx Adventure , Modelo 2023 ",2023,29600000 pesos,Barrios Unidos - Bogotá D.C.
Benelli Trk 502x 2023,2023,37990000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar N 250 Fi Abs ,2024,14299000 pesos,Cali - Valle Del Cauca
Bajaj Pulsar Ns 200 Fi,2024,11899000 pesos,Bello - Antioquia
Bajaj Boxer S ,2024,5499000 pesos,Bello - Antioquia
Bajaj Pulsar N250 Fi Abs 2024 Manizales,2023,14350000 pesos,Manizales - Caldas
Pulsar N 250 ,2023,13999000 pesos,Engativa - Bogotá D.C.
Honda Xr190l 2024 Cartagena ,2023,14315000 pesos,Cartagena De Indias - Bolívar
Honda Xr190l 2024 Barranquilla ,2023,14315000 pesos,Barranquilla - Atlántico
Honda Xr190l 2024 Pereira ,2023,14315000 pesos,Pereira - Risaralda
Honda Xr190l 2024 7 De Agosto,2023,14315000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xr190l 2024 Cali,2023,14315000 pesos,Cali - Valle Del Cauca
Boxer Ct 100 Alloy A Credito Bogota ,2024,6449000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250,2023,14449000 pesos,Cali - Valle Del Cauca
Dominar 400 Touring Ug2,2023,17724000 pesos,Cali - Valle Del Cauca
Pulsar Ns 200 Fi Abs,2024,13324000 pesos,Cali - Valle Del Cauca
Dominar 400 Touring,2023,17724000 pesos,Bogota - Cundinamarca
Pulsar Ns 160 Fi,2023,9299000 pesos,Engativa - Bogotá D.C.
Bajaj  Pulsar Ns 125,2023,7699000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi 2024,2023,11899000 pesos,Cali - Valle Del Cauca
Bajaj Boxer Ct 100 Es 2024,2023,6350000 pesos,Antonio Nariño - Bogotá D.C.
Dominar 250 2023,2022,14499000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400 Ug2 Touring,2024,18149000 pesos,Cali - Valle Del Cauca
Cuatrimoto Srm 125cc 4 Tiempos Ranchera Raptor,2023,7500000 pesos,Medellín - Antioquia
Moto Cross Para Niños A Gasolina Pitbike 60cc Motocross,2023,2200000 pesos,Medellín - Antioquia
Benelli Tnt 150 I 2024,2022,10990000 pesos,Pereira - Risaralda
Victory Life 125 2024,2024,7349000 pesos,Pereira - Risaralda
"Honda Xr 150 L, Modelo 2023",2023,11130000 pesos,Barrios Unidos - Bogotá D.C.
Honda Navi 2024 Barranquilla ,2023,7240000 pesos,Barranquilla - Atlántico
Honda Navi 2024 Cartagena ,2023,7240000 pesos,Cartagena De Indias - Bolívar
Honda Navi 2024 Pereira ,2023,7240000 pesos,Pereira - Risaralda
Honda Navi 2024 Medellín ,2023,7240000 pesos,Medellín - Antioquia
Honda Navi 2024 7 De Agosto,2023,7240000 pesos,Barrios Unidos - Bogotá D.C.
Honda Navi 2024 Cali,2023,7240000 pesos,Cali - Valle Del Cauca
Pulsarmania Ns 200 Fi Abs Modelo 2023 ,2023,13199000 pesos,Ciudad Bolívar - Bogotá D.C.
Dominar 250,2023,14449000 pesos,Teusaquillo - Bogotá D.C.
Dominar 400 Touring,2024,18149000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi ,2023,11899000 pesos,Cali - Valle Del Cauca
Pulsar  180  Fi 2023 Bogotá Version Pulsarmania,2022,9474000 pesos,Engativa - Bogotá D.C.
Discover 125 St  2024,2023,7674000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar Ns 200 Fi Pulsarmania,2022,11624000 pesos,Chapinero - Bogotá D.C.
Dominar 250 Cali,2023,14999000 pesos,Cali - Valle Del Cauca
Fatbob 114 ,2022,150800000 pesos,Barranquilla - Atlántico
Bajaj Dominar D400 Pro Touring ,2023,17724000 pesos,Bello - Antioquia
Bajaj Pulsar Ns 200 Fi Abs Pulsarmanía 2024 Pereira,2023,13699000 pesos,Pereira - Risaralda
Bajaj Discover 125 St-r 2024 Manizales,2023,7674000 pesos,Manizales - Caldas
Bajaj Pulsar Ns 200 Fi Abs Pulsarmanía 2024 Manizales,2023,13699000 pesos,Manizales - Caldas
