name,generation,price,city,departament
Cuatrimoto 110cc Niño 4 Tiempos Gasolina Plr,2023,4899900.0,Usaquén , Bogotá D.C.
Bajaj Pulsar N250 - 2024,2024,13999000.0,Puente Aranda , Bogotá D.C.
Motocarro Forza Natsuki 2022 ,2023,15890000.0,Barranquilla , Atlántico
Harley -davidson-107 Flsb,2022,134800000.0,Barranquilla , Atlántico
Honda Dio 110 Dlx 2024 Pereira ,2023,7595000.0,Pereira , Risaralda
Honda Dio 110 Dlx 2024 Cartagena ,2023,7595000.0,Cartagena De Indias , Bolívar
Honda Dio 110 Dlx 2024 Barranquilla ,2023,7595000.0,Barranquilla , Atlántico
Honda Dio 110 Dlx 2024 Medellín ,2023,7595000.0,Medellín , Antioquia
Honda Dio 110 Dlx 2024 7 De Agosto,2023,7595000.0,Barrios Unidos , Bogotá D.C.
Vespa Sprint 150 Edición Especial 2023,2023,39990000.0,Suba , Bogotá D.C.
Harley Davidson Pan América Special 1250,2022,161800000.0,Medellín , Antioquia
Harley-david Street Glide 114,2022,187800000.0,Medellín , Antioquia
Harley Davidson Road King,2022,151800000.0,Medellín , Antioquia
Hero Eco Deluxe Cw Mejorada!!!,2022,6190000.0,Popayán , Cauca
Apollo 2022,2023,8400000.0,Medellín , Antioquia
 Yamaha Fz25 Edicion Especial Storm Modelo 2024 0km,2024,15900000.0,Medellín , Antioquia
Yamaha Fz-s 150 2.0 Modelo 2024,2024,10600000.0,Medellín , Antioquia
Suzuki Gixxer Sf Fi  250 Abs,2024,16330000.0,Teusaquillo , Bogotá D.C.
Motocarro Natsuki Estaca Con Cabina,2023,23940000.0,Barranquilla , Atlántico
Suzuki Access 125cc 2021  - Financiable,2022,10147000.0,Teusaquillo , Bogotá D.C.
Cuatrimoto 250cc Raptor 2023 Nuevas Plr,2023,15999900.0,Usaquén , Bogotá D.C.
Ycf  88cc Star Pitbike Enduro Cross Supermotard  ,2022,4900000.0,Medellín , Antioquia
Flfbs Fatboy 114,2022,150800000.0,Barranquilla , Atlántico
Ktm 2022,2022,17524306.0,Medellín , Antioquia
Yamaha Ybrz 125 Modelo 2024 0 Km ,2024,8400000.0,Medellín , Antioquia
Cuatrimoto Plr Raptor 200cc Mecánica Motor 4t,2023,11999900.0,Usaquén , Bogotá D.C.
Moto Kymco Twist 125cc Nueva Bucaramanga,2023,7419000.0,Bucaramanga , Santander
Vespa Vxl 150cc Con Frenos Abs,2023,14990000.0,Manizales , Caldas
Motor 250cc Natsuki,2023,2737000.0,Barranquilla , Atlántico
 Yamaha Szrr 150 Edicion Especial Dark  Modelo 2024 0 Km ,2024,9450000.0,Medellín , Antioquia
Aprilia Rs 660cc,2022,69990000.0,Manizales , Caldas
Aprilia Tuareg 660cc,2022,74990000.0,Manizales , Caldas
Motor Natsuki 300cc Refrigerado Por Agua,2023,3213000.0,Barranquilla , Atlántico
Dominar 250 Touring,2023,14449000.0,Engativa , Bogotá D.C.
Discover 125 St-r,2024,7750000.0,Antonio Nariño , Bogotá D.C.
Kymco Agility Fusión ,2024,10499000.0,Medellín , Antioquia
Dominar 400 Touring,2023,17724000.0,Antonio Nariño , Bogotá D.C.
Pulsarmania Ns 200 Fi 2024,2023,12199000.0,Antonio Nariño , Bogotá D.C.
Pulsar N250 ,2023,14350000.0,Antonio Nariño , Bogotá D.C.
Discover St 125,2023,7424000.0,Engativa , Bogotá D.C.
Pulsar 180 Fi ,2023,9274000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi Pulsar Mania,2023,11624000.0,Engativa , Bogotá D.C.
Boxer Ct 100 Es,2023,5849000.0,Teusaquillo , Bogotá D.C.
Bajaj Discover 125 2024,2022,7674000.0,Antonio Nariño , Bogotá D.C.
Bajaj Dominar 250  Pro Sport ,2023,14849000.0,Antonio Nariño , Bogotá D.C.
Dominar 250 Fi Abs 2023 Gris Piedra Touring,2023,14724000.0,Antonio Nariño , Bogotá D.C.
Nueva Boxer 150x 2024 Negro Gris/azul,2023,6899000.0,Antonio Nariño , Bogotá D.C.
Dominar 400 Touring  Verde Army 2024,2023,18149000.0,Antonio Nariño , Bogotá D.C.
Honda Xblade 2024,2024,3742440.0,Usaquén , Bogotá D.C.
Triumph Bonneville T100,2023,79990000.0,Medellín , Antioquia
Honda Cb190r 2024 Tolima ,2023,13950000.0,Ibagué , Tolima
Honda Cb190r 2024 Popayán ,2023,13950000.0,Popayán , Cauca
Honda Cb190r 2024 Bucaramanga ,2023,13950000.0,Bucaramanga , Santander
Honda Cb190r 2024 Cedritos,2023,13950000.0,Usaquén , Bogotá D.C.
Honda Cb190r 2024 Venecia,2023,13950000.0,Tunjuelito , Bogotá D.C.
Pulsar 180 Fi 2024,2023,9399000.0,Antonio Nariño , Bogotá D.C.
Bajaj Pulsar Ns200 Abs  2023,2023,13399000.0,Antonio Nariño , Bogotá D.C.
Bajaj  Dominar 400 Pro Accesorizada 2024,2023,18149000.0,Antonio Nariño , Bogotá D.C.
 Dominar 400 Cali,2023,17999000.0,Cali , Valle Del Cauca
Pulsar Ns 160 Fi Abs Cali,2024,10499000.0,Cali , Valle Del Cauca
Pulsar N 160 Fi Abs ,2024,10799000.0,Teusaquillo , Bogotá D.C.
Pulsar N 250,2023,14350000.0,Antonio Nariño , Bogotá D.C.
"Honda Cb 125 F , Modelo 2024",2024,7500000.0,Barrios Unidos , Bogotá D.C.
"Honda Xre 190, Modelo 2023",2023,17820000.0,Barrios Unidos , Bogotá D.C.
Discover St 125,2023,7424000.0,Antonio Nariño , Bogotá D.C.
Honda Cb190r 2024 Huila,2023,13950000.0,Neiva , Huila
Triumph Trident,2023,58990000.0,Medellín , Antioquia
Pulsar Ns 200 Fi,2023,11324000.0,Antonio Nariño , Bogotá D.C.
Dominar 250 ,2023,14449000.0,Engativa , Bogotá D.C.
Bajaj Ns160 Fi Abs,2023,10499000.0,Antonio Nariño , Bogotá D.C.
Dominar D400 Financiada,2023,17300000.0,Engativa , Bogotá D.C.
Pulsar N160 Fi Dual Abs 2024 Plata Mate,2024,10799000.0,Antonio Nariño , Bogotá D.C.
Motocarro Ceronte Tricargo 200cc Nueva Bucaramanga,2024,15990000.0,Bucaramanga , Santander
Honda Xr190l,2024,14315000.0,Usaquén , Bogotá D.C.
Honda Navi,2024,2429460.0,Suba , Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13999000.0,Antonio Nariño , Bogotá D.C.
Pulsar 180 Fi Modelo 2023 ,2023,9149000.0,Ciudad Bolívar , Bogotá D.C.
Pulsar Ns 200 Fi Abs,2023,13024000.0,Antonio Nariño , Bogotá D.C.
Boxer 150x Modelo 2024,2023,6899000.0,Chapinero , Bogotá D.C.
Discover 125 St-r Pro 2023,2023,7474000.0,Teusaquillo , Bogotá D.C.
Pulsar 180 Fi 2023 Pulsarmania,2023,9349000.0,Teusaquillo , Bogotá D.C.
Dominar 250 2023,2023,14449000.0,Engativa , Bogotá D.C.
Yamaha T-max  Modelo 2023 0km,2023,85000000.0,Medellín , Antioquia
